drug_code,generic_name,brand_name,strength,source_pharmacy_name,destination_pharmacy_name,quantity,transaction_type,created_at
EE4-A335-10886-01,"Turpentine Oil,Menthol,Eucalyptus Oil,Wintergreen Oil ( Methyl Salicylate)",NNS KWIK-MOVING OINTMENT-QUICK RELIEF 100G,"3 %/1w/w,5 %/1w/w,2 %/1w/w,15 %/1w/w",FRN Retail Branch - Khalifa City,FGH ICU Pharmacy,5,TRANSFER_OUT,2026-03-28T08:14:31.607+00:00
F98-A720-12250-03,"Folic Acid,Iron (Liposomal Iron Pyrophosphate)",OXYFer forte ,"400 mcg,30 mg",Emergency Pharmacy,FGH ICU Pharmacy,11,TRANSFER_IN,2026-03-28T10:03:43.53+00:00
F98-A720-12250-03,"Folic Acid,Iron (Liposomal Iron Pyrophosphate)",OXYFer forte ,"400 mcg,30 mg",Emergency Pharmacy,FGH ICU Pharmacy,11,TRANSFER_OUT,2026-03-28T10:03:43.53+00:00
EK2-A365-10933-01,"Sodium chloride,Potassium Chloride",POTASSIUM CHLORIDE AND SODIUM CHLORIDE VIAFLO,"9 g/1000ml,1.5 g/1000ml",FRN Retail Branch - MBZ,FGH ICU Pharmacy,14,TRANSFER_IN,2026-03-30T09:28:37.897+00:00
EK2-A365-10933-01,"Sodium chloride,Potassium Chloride",POTASSIUM CHLORIDE AND SODIUM CHLORIDE VIAFLO,"9 g/1000ml,1.5 g/1000ml",FRN Retail Branch - MBZ,FGH ICU Pharmacy,14,TRANSFER_OUT,2026-03-30T09:28:37.897+00:00
EE4-A335-10886-01,"Turpentine Oil,Menthol,Eucalyptus Oil,Wintergreen Oil ( Methyl Salicylate)",NNS KWIK-MOVING OINTMENT-QUICK RELIEF 100G,"3 %/1w/w,5 %/1w/w,2 %/1w/w,15 %/1w/w",FRN Retail Branch - Khalifa City,FGH Pediatric Pharmacy,1,TRANSFER_OUT,2026-03-30T12:50:56.061+00:00
EE4-A335-10886-01,"Turpentine Oil,Menthol,Eucalyptus Oil,Wintergreen Oil ( Methyl Salicylate)",NNS KWIK-MOVING OINTMENT-QUICK RELIEF 100G,"3 %/1w/w,5 %/1w/w,2 %/1w/w,15 %/1w/w",FRN Retail Branch - Khalifa City,FGH Pediatric Pharmacy,1,TRANSFER_IN,2026-03-30T12:50:56.061+00:00
F72-3993-04361-01,"Caffeine,Paracetamol (Acetaminophen),Phenylephrine Hydrochloride",PANADOL,"25 mg,500 mg,5 mg",FRN Retail Branch - MBZ,FGH Main Inpatient Pharmacy,70,TRANSFER_OUT,2026-03-30T21:52:01.113+00:00
F72-3993-04361-01,"Caffeine,Paracetamol (Acetaminophen),Phenylephrine Hydrochloride",PANADOL,"25 mg,500 mg,5 mg",FRN Retail Branch - MBZ,FGH Main Inpatient Pharmacy,70,TRANSFER_IN,2026-03-30T21:52:01.113+00:00
DQ6-7747-00083-03,Acarbose,ACARBOSE,50 mg,Emergency Pharmacy,FGH OR Pharmacy,7,TRANSFER_IN,2026-03-31T20:09:36.735+00:00
DQ6-7747-00083-03,Acarbose,ACARBOSE,50 mg,Emergency Pharmacy,FGH OR Pharmacy,7,TRANSFER_OUT,2026-03-31T20:09:36.735+00:00
F70-1958-05728-01,"type B equiv. to strain Panama,type H1N1 equiv. to Strain A Singapore/6/86,Vaccine-Influenza vaccine (type H3N2 equiv. to strain A Shangdong/9/93",FLUARIX VACCINE,"15 mcg,15 mcg,15 mcg",FRN Retail Branch - Khalifa City,FGH Pediatric Pharmacy,2,TRANSFER_OUT,2026-04-01T09:03:56.746+00:00
F70-1958-05728-01,"type B equiv. to strain Panama,type H1N1 equiv. to Strain A Singapore/6/86,Vaccine-Influenza vaccine (type H3N2 equiv. to strain A Shangdong/9/93",FLUARIX VACCINE,"15 mcg,15 mcg,15 mcg",FRN Retail Branch - Khalifa City,FGH Pediatric Pharmacy,2,TRANSFER_IN,2026-04-01T09:03:56.746+00:00
EK2-A365-10933-01,"Sodium chloride,Potassium Chloride",POTASSIUM CHLORIDE AND SODIUM CHLORIDE VIAFLO,"9 g/1000ml,1.5 g/1000ml",FSC Cardiology Pharmacy,Emergency Pharmacy,21,TRANSFER_OUT,2026-04-01T15:15:56.437+00:00
EK2-A365-10933-01,"Sodium chloride,Potassium Chloride",POTASSIUM CHLORIDE AND SODIUM CHLORIDE VIAFLO,"9 g/1000ml,1.5 g/1000ml",FSC Cardiology Pharmacy,Emergency Pharmacy,21,TRANSFER_IN,2026-04-01T15:15:56.437+00:00
DO2-B759-13541-02,"Sucralfate,Sodium Hyaluronate",HY- A1,"0.15 gm,0.06 gm",FRN Retail Branch - Khalifa City,FGH Main Inpatient Pharmacy,19,TRANSFER_IN,2026-04-01T16:47:04.307+00:00
DO2-B759-13541-02,"Sucralfate,Sodium Hyaluronate",HY- A1,"0.15 gm,0.06 gm",FRN Retail Branch - Khalifa City,FGH Main Inpatient Pharmacy,19,TRANSFER_OUT,2026-04-01T16:47:04.307+00:00
F26-1673-00132-02,"Adapalene,Benzoyl peroxide",EPIDUO,"1 mg/g,25 mg/g",FRN Retail Branch - Abu Dhabi,FGH Pediatric Pharmacy,1,TRANSFER_OUT,2026-04-01T16:55:13.222+00:00
F26-1673-00132-02,"Adapalene,Benzoyl peroxide",EPIDUO,"1 mg/g,25 mg/g",FRN Retail Branch - Abu Dhabi,FGH Pediatric Pharmacy,1,TRANSFER_IN,2026-04-01T16:55:13.222+00:00
J23-3577-04360-01,"Ascorbic Acid (Vitamin C),Paracetamol (Acetaminophen),Phenylephrine Hydrochloride",NEOMOL COLD & FLU,"40 mg,600 mg,10 mg",FRN Retail Branch - Khalifa City,FGH Pediatric Pharmacy,2,TRANSFER_OUT,2026-04-02T12:35:08.517+00:00
J23-3577-04360-01,"Ascorbic Acid (Vitamin C),Paracetamol (Acetaminophen),Phenylephrine Hydrochloride",NEOMOL COLD & FLU,"40 mg,600 mg,10 mg",FRN Retail Branch - Khalifa City,FGH Pediatric Pharmacy,2,TRANSFER_IN,2026-04-02T12:35:08.517+00:00
EY2-D519-13387-01,"Amlodipine (as besilate),Hydrochlorothiazide,Valsartan",Valdipine H,"10 mg/1Tablet,25 mg/1 Tablet,160 mg/1Tablet",FSC Ambulatory Care Pharmacy,FGH OR Pharmacy,7,TRANSFER_IN,2026-04-02T14:26:24.75+00:00
EY2-D519-13387-01,"Amlodipine (as besilate),Hydrochlorothiazide,Valsartan",Valdipine H,"10 mg/1Tablet,25 mg/1 Tablet,160 mg/1Tablet",FSC Ambulatory Care Pharmacy,FGH OR Pharmacy,7,TRANSFER_OUT,2026-04-02T14:26:24.75+00:00
EA1-E285-20050-01,Fentanyl Citrate,XALTRIX,1200 mcg,FRN Retail Branch - Baniyas,FGH Main Inpatient Pharmacy,11,TRANSFER_OUT,2026-04-02T16:55:12.767+00:00
EA1-E285-20050-01,Fentanyl Citrate,XALTRIX,1200 mcg,FRN Retail Branch - Baniyas,FGH Main Inpatient Pharmacy,11,TRANSFER_IN,2026-04-02T16:55:12.767+00:00
F68-1941-02423-01,Fluticasone Propionate,FLIXOTIDE,2 mg/2ml,FGH OR Pharmacy,FRN Retail Branch - Al Ain,22,TRANSFER_IN,2026-04-02T23:38:01.868+00:00
F68-1941-02423-01,Fluticasone Propionate,FLIXOTIDE,2 mg/2ml,FGH OR Pharmacy,FRN Retail Branch - Al Ain,22,TRANSFER_OUT,2026-04-02T23:38:01.868+00:00
E50-2608-00080-01,"Acacia,Ascorbic Acid (Vitamin C),Iceland Moss Extract",ISLA CASSIS,"467.75 mg,10 mg,80 mg",FRN Retail Branch - Al Ain,FGH OR Pharmacy,10,TRANSFER_OUT,2026-04-04T00:00:35.897+00:00
E50-2608-00080-01,"Acacia,Ascorbic Acid (Vitamin C),Iceland Moss Extract",ISLA CASSIS,"467.75 mg,10 mg,80 mg",FRN Retail Branch - Al Ain,FGH OR Pharmacy,10,TRANSFER_IN,2026-04-04T00:00:35.897+00:00
FT0-5671-00944-01,Capecitabine,XELODA,500 mg,FSC Ambulatory Care Pharmacy,FGH ICU Pharmacy,13,TRANSFER_OUT,2026-04-04T10:25:06.653+00:00
FT0-5671-00944-01,Capecitabine,XELODA,500 mg,FSC Ambulatory Care Pharmacy,FGH ICU Pharmacy,13,TRANSFER_IN,2026-04-04T10:25:06.653+00:00
J82-8721-02233-02,Etoricoxib,ZYFAST,120 mg,FRN Retail Branch - Al Ain,FSC Cardiology Pharmacy,63,TRANSFER_OUT,2026-04-04T11:01:40.245+00:00
J82-8721-02233-02,Etoricoxib,ZYFAST,120 mg,FRN Retail Branch - Al Ain,FSC Cardiology Pharmacy,63,TRANSFER_IN,2026-04-04T11:01:40.245+00:00
F91-E115-19588-01,Vonoprazan Fumarate 13.361 mg equivalent to Vonoprazan 10 mg,VONACAB,10 mg/1Tablet,FRN Retail Branch - Khalifa City,Emergency Pharmacy,19,TRANSFER_OUT,2026-04-04T19:29:55.073+00:00
F91-E115-19588-01,Vonoprazan Fumarate 13.361 mg equivalent to Vonoprazan 10 mg,VONACAB,10 mg/1Tablet,FRN Retail Branch - Khalifa City,Emergency Pharmacy,19,TRANSFER_IN,2026-04-04T19:29:55.073+00:00
E13-7116-18198-01,"Carbomer (Carbomer 980),Sodium Hyaluronate,Triglycerides (medium chain)",Artelac Complete MDO,"0.625 mg/g,2.4 mg/g,2 mg/g",FGH OR Pharmacy,FSC Dialysis Pharmacy,11,TRANSFER_OUT,2026-04-05T00:32:15.779+00:00
E13-7116-18198-01,"Carbomer (Carbomer 980),Sodium Hyaluronate,Triglycerides (medium chain)",Artelac Complete MDO,"0.625 mg/g,2.4 mg/g,2 mg/g",FGH OR Pharmacy,FSC Dialysis Pharmacy,11,TRANSFER_IN,2026-04-05T00:32:15.779+00:00
EV7-B667-13525-01,Herbal Combination,VARISTASI Plus Gel ,9 Combination,FGH OR Pharmacy,FGH Emergency Pharmacy,15,TRANSFER_IN,2026-04-05T14:01:02.253+00:00
EV7-B667-13525-01,Herbal Combination,VARISTASI Plus Gel ,9 Combination,FGH OR Pharmacy,FGH Emergency Pharmacy,15,TRANSFER_OUT,2026-04-05T14:01:02.253+00:00
F06-1366-04480-01,Phenoxybenzamine Hydrochloride,DIBENZYLINE,10 mg,Emergency Pharmacy,FGH ICU Pharmacy,42,TRANSFER_OUT,2026-04-05T14:19:01.137+00:00
F06-1366-04480-01,Phenoxybenzamine Hydrochloride,DIBENZYLINE,10 mg,Emergency Pharmacy,FGH ICU Pharmacy,42,TRANSFER_IN,2026-04-05T14:19:01.137+00:00
J30-7058-00730-01,Bisoprolol Fumarate,PROLOBIS,5 mg,FSC Day Surgery Pharmacy,FSC Ambulatory Care Pharmacy,66,TRANSFER_IN,2026-04-06T01:48:31.588+00:00
J30-7058-00730-01,Bisoprolol Fumarate,PROLOBIS,5 mg,FSC Day Surgery Pharmacy,FSC Ambulatory Care Pharmacy,66,TRANSFER_OUT,2026-04-06T01:48:31.588+00:00
E08-1742-02205-01,Ethinylestradiol,ETHINYL ESTRADIOL,10 mcg,FRN Retail Branch - Khalifa City,FGH OR Pharmacy,7,TRANSFER_OUT,2026-04-06T08:38:27.709+00:00
E08-1742-02205-01,Ethinylestradiol,ETHINYL ESTRADIOL,10 mcg,FRN Retail Branch - Khalifa City,FGH OR Pharmacy,7,TRANSFER_IN,2026-04-06T08:38:27.709+00:00
FQ8-A659-03203-01,Itraconazole,ITRATOP,100 mg,Emergency Pharmacy,FGH Emergency Pharmacy,15,TRANSFER_IN,2026-04-06T15:36:25.524+00:00
FQ8-A659-03203-01,Itraconazole,ITRATOP,100 mg,Emergency Pharmacy,FGH Emergency Pharmacy,15,TRANSFER_OUT,2026-04-06T15:36:25.524+00:00
E41-5827-04132-01,Olanzapine,ZYPREXA VELOTAB,5 mg,FRN Retail Branch - MBZ,FSC Ambulatory Care Pharmacy,11,TRANSFER_IN,2026-04-06T18:21:21.494+00:00
E41-5827-04132-01,Olanzapine,ZYPREXA VELOTAB,5 mg,FRN Retail Branch - MBZ,FSC Ambulatory Care Pharmacy,11,TRANSFER_OUT,2026-04-06T18:21:21.494+00:00
F98-A720-12250-03,"Folic Acid,Iron (Liposomal Iron Pyrophosphate)",OXYFer forte ,"400 mcg,30 mg",Emergency Pharmacy,FGH Emergency Pharmacy,5,TRANSFER_OUT,2026-04-06T19:30:37.079+00:00
F98-A720-12250-03,"Folic Acid,Iron (Liposomal Iron Pyrophosphate)",OXYFer forte ,"400 mcg,30 mg",Emergency Pharmacy,FGH Emergency Pharmacy,5,TRANSFER_IN,2026-04-06T19:30:37.079+00:00
J94-1099-02046-01,Entacapone,COMTESS,200 mg,FRN Retail Branch - Khalifa City,FalconMed Main Pharmacy,21,TRANSFER_IN,2026-04-06T22:32:02.652+00:00
J94-1099-02046-01,Entacapone,COMTESS,200 mg,FRN Retail Branch - Khalifa City,FalconMed Main Pharmacy,21,TRANSFER_OUT,2026-04-06T22:32:02.652+00:00
FO3-A689-11397-02,"Activated charcoal,Simethicone (Simeticone)",BLOAT - EZ,"250 mg/1Tablet,80 mg/1Tablet",FRN Retail Branch - Baniyas,FGH Emergency Pharmacy,9,TRANSFER_IN,2026-04-07T00:51:08.195+00:00
FO3-A689-11397-02,"Activated charcoal,Simethicone (Simeticone)",BLOAT - EZ,"250 mg/1Tablet,80 mg/1Tablet",FRN Retail Branch - Baniyas,FGH Emergency Pharmacy,9,TRANSFER_OUT,2026-04-07T00:51:08.195+00:00
F91-D549-18140-01,Sitagliptin Hydrochloride Monohydrate 56.69mg equivalent to Sitagliptin 50mg,EMIJAN,50 mg/1Tablet,Emergency Pharmacy,FGH Main Inpatient Pharmacy,59,TRANSFER_OUT,2026-04-07T02:31:34.633+00:00
F91-D549-18140-01,Sitagliptin Hydrochloride Monohydrate 56.69mg equivalent to Sitagliptin 50mg,EMIJAN,50 mg/1Tablet,Emergency Pharmacy,FGH Main Inpatient Pharmacy,59,TRANSFER_IN,2026-04-07T02:31:34.633+00:00
F92-2145-03527-01,"Ginkgo Biloba Extract,Lyophilized Fish Roe",GENTAPLEX,"30 mg,570 mg",Emergency Pharmacy,FGH ICU Pharmacy,12,TRANSFER_OUT,2026-04-07T05:48:26.44+00:00
F92-2145-03527-01,"Ginkgo Biloba Extract,Lyophilized Fish Roe",GENTAPLEX,"30 mg,570 mg",Emergency Pharmacy,FGH ICU Pharmacy,12,TRANSFER_IN,2026-04-07T05:48:26.44+00:00
F92-2145-03527-01,"Ginkgo Biloba Extract,Lyophilized Fish Roe",GENTAPLEX,"30 mg,570 mg",Emergency Pharmacy,FGH Pediatric Pharmacy,2,TRANSFER_OUT,2026-04-07T05:56:00.245+00:00
F92-2145-03527-01,"Ginkgo Biloba Extract,Lyophilized Fish Roe",GENTAPLEX,"30 mg,570 mg",Emergency Pharmacy,FGH Pediatric Pharmacy,2,TRANSFER_IN,2026-04-07T05:56:00.245+00:00
E50-2608-00080-01,"Acacia,Ascorbic Acid (Vitamin C),Iceland Moss Extract",ISLA CASSIS,"467.75 mg,10 mg,80 mg",FRN Retail Branch - Al Ain,FGH Pediatric Pharmacy,5,TRANSFER_OUT,2026-04-07T08:35:05.458+00:00
E50-2608-00080-01,"Acacia,Ascorbic Acid (Vitamin C),Iceland Moss Extract",ISLA CASSIS,"467.75 mg,10 mg,80 mg",FRN Retail Branch - Al Ain,FGH Pediatric Pharmacy,5,TRANSFER_IN,2026-04-07T08:35:05.458+00:00
DQ6-3173-03600-02,Megestrol Acetate,MEGESTROL ACETATE,40 mg/ml,FGH Main Inpatient Pharmacy,FRN Retail Branch - Abu Dhabi,14,TRANSFER_IN,2026-04-07T22:41:22.1+00:00
DQ6-3173-03600-02,Megestrol Acetate,MEGESTROL ACETATE,40 mg/ml,FGH Main Inpatient Pharmacy,FRN Retail Branch - Abu Dhabi,14,TRANSFER_OUT,2026-04-07T22:41:22.1+00:00
J94-1099-02046-01,Entacapone,COMTESS,200 mg,FRN Retail Branch - Al Ain,FalconMed Main Pharmacy,34,TRANSFER_IN,2026-04-08T08:20:05.15+00:00
J94-1099-02046-01,Entacapone,COMTESS,200 mg,FRN Retail Branch - Al Ain,FalconMed Main Pharmacy,34,TRANSFER_OUT,2026-04-08T08:20:05.15+00:00
E08-1742-02205-01,Ethinylestradiol,ETHINYL ESTRADIOL,10 mcg,FRN Retail Branch - Khalifa City,FGH ICU Pharmacy,29,TRANSFER_IN,2026-04-08T11:59:14.797+00:00
E08-1742-02205-01,Ethinylestradiol,ETHINYL ESTRADIOL,10 mcg,FRN Retail Branch - Khalifa City,FGH ICU Pharmacy,29,TRANSFER_OUT,2026-04-08T11:59:14.797+00:00
J23-3596-03616-02,Meloxicam,NEOXICAM,7.5 mg,FRN Retail Branch - Al Ain,FGH OR Pharmacy,11,TRANSFER_OUT,2026-04-08T23:14:23.399+00:00
J23-3596-03616-02,Meloxicam,NEOXICAM,7.5 mg,FRN Retail Branch - Al Ain,FGH OR Pharmacy,11,TRANSFER_IN,2026-04-08T23:14:23.399+00:00
J23-3705-05102-01,Simvastatin,NORMOLIP,10 mg,FRN Retail Branch - MBZ,FGH Emergency Pharmacy,18,TRANSFER_IN,2026-04-09T02:25:00.528+00:00
J23-3705-05102-01,Simvastatin,NORMOLIP,10 mg,FRN Retail Branch - MBZ,FGH Emergency Pharmacy,18,TRANSFER_OUT,2026-04-09T02:25:00.528+00:00
F04-5454-01851-01,"Calamine,Dimethicone,Zinc oxide",VASOGEN,"1.5 g,20 g,7.5 g",FRN Retail Branch - Khalifa City,FSC Dialysis Pharmacy,34,TRANSFER_OUT,2026-04-09T04:11:23.666+00:00
