id,pharmacy_id,drug_code,batch_number,expiry_date,quantity_on_hand,minimum_stock,maximum_stock,unit_cost,inventory_status,received_date,storage_location,days_to_expiry,inventory_value_aed,stock_status
c3251d7c-9903-484f-8211-43260300dff7,0084942a-7f9c-4342-a2ef-afdd30ce7796,A53-2425-02816-02,ENH-MAIN-01176,2027-03-16,0,1,4,527.48,ACTIVE,2026-02-20,SHELF A,269,0,OUT_OF_STOCK
84d349c2-47c4-4aa0-8122-fea2f81f1d43,0084942a-7f9c-4342-a2ef-afdd30ce7796,A54-0246-01409-01,BASE-GENE-00460,2028-02-10,0,2,18,341.78,ACTIVE,2026-05-04,CONTROLLED ROOM,600,0,OUT_OF_STOCK
b676b359-010c-425f-bb80-0e4cce11f2e4,0084942a-7f9c-4342-a2ef-afdd30ce7796,A54-0852-01075-01,ENH-MAIN-01067,2030-08-15,2,1,4,282.64,ACTIVE,2025-10-17,MAIN STORE,1517,565.28,HEALTHY
09a26fdd-9580-4e41-8de3-9d9104f6ce08,0084942a-7f9c-4342-a2ef-afdd30ce7796,A54-0970-01268-01,BASE-GENE-01016,2027-03-05,0,1,9,101.96,ACTIVE,2026-03-29,SHELF A,258,0,OUT_OF_STOCK
3560464d-359f-4972-b2a0-039ebe2be500,0084942a-7f9c-4342-a2ef-afdd30ce7796,A54-2083-02506-01,ENH-MAIN-01118,2026-11-13,0,3,25,346.53,ACTIVE,2025-10-27,MAIN STORE,146,0,OUT_OF_STOCK
c4999133-ea8e-4cba-b432-89a851b4908f,0084942a-7f9c-4342-a2ef-afdd30ce7796,A54-2367-00612-01,ENH-MAIN-00677,2030-07-29,3,3,21,258.85,ACTIVE,2025-10-14,FRIDGE,1500,776.55,LOW_STOCK
3bcc4a7e-81c9-4dc1-ac58-04c6da855331,0084942a-7f9c-4342-a2ef-afdd30ce7796,A54-3646-03779-02,ENH-MAIN-00261,2027-12-11,0,4,34,73.67,ACTIVE,2025-09-09,FRIDGE,539,0,OUT_OF_STOCK
9468fa6b-8f5f-4175-b68b-4292d163f7ec,0084942a-7f9c-4342-a2ef-afdd30ce7796,A54-4064-00330-01,ENH-MAIN-00061,2027-01-25,0,1,5,324.76,ACTIVE,2025-08-12,SHELF A,219,0,OUT_OF_STOCK
0259d93f-ed46-4d11-84f8-29f674836cda,0084942a-7f9c-4342-a2ef-afdd30ce7796,A54-4239-00214-01,BASE-GENE-01141,2031-03-07,8,3,27,216.55,ACTIVE,2026-02-10,MAIN STORE,1721,1732.4,HEALTHY
7e2c0f13-8668-4d23-8bb8-5d3f075e25e3,0084942a-7f9c-4342-a2ef-afdd30ce7796,A54-4322-05373-01,ENH-MAIN-00777,2029-07-14,507,127,916,16.37,ACTIVE,2026-03-02,FRIDGE,1120,8299.59,HEALTHY
8b91a2f5-ee2f-4483-906f-a1bb41729c05,0084942a-7f9c-4342-a2ef-afdd30ce7796,A54-4529-02910-02,ENH-MAIN-00319,2027-03-27,0,1,4,882.93,ACTIVE,2025-11-07,SHELF A,280,0,OUT_OF_STOCK
928e1c53-0acc-4bd8-9eb1-7f6dac59db9c,0084942a-7f9c-4342-a2ef-afdd30ce7796,A54-4529-02916-01,ENH-MAIN-00902,2029-07-06,3,1,5,217.28,ACTIVE,2026-06-11,MAIN STORE,1112,651.84,HEALTHY
43d62b11-8cc3-480e-8883-29ed093bf2fa,0084942a-7f9c-4342-a2ef-afdd30ce7796,A54-4708-01079-01,ENH-MAIN-00305,2028-07-21,13,5,36,69.24,ACTIVE,2026-02-16,CONTROLLED ROOM,762,900.12,HEALTHY
913d3582-90ca-4d23-9e6a-de35de2e2f6d,0084942a-7f9c-4342-a2ef-afdd30ce7796,A54-5631-01785-01,ENH-MAIN-00773,2031-05-05,14,4,30,140.26,ACTIVE,2025-12-20,FRIDGE,1780,1963.64,HEALTHY
0d97b1ec-d481-4e78-8a6b-21e20a169f4f,0084942a-7f9c-4342-a2ef-afdd30ce7796,A54-5631-01796-01,ENH-MAIN-00703,2030-01-31,3,1,12,231.08,ACTIVE,2026-06-13,SHELF A,1321,693.24,HEALTHY
0df575c2-9cb0-44c3-b36d-41dcb2c5f482,0084942a-7f9c-4342-a2ef-afdd30ce7796,A54-7051-07094-01,ENH-MAIN-00345,2027-08-30,0,2,18,258.35,ACTIVE,2025-10-11,CONTROLLED ROOM,436,0,OUT_OF_STOCK
7d9673cf-014c-482d-9934-111294e86214,0084942a-7f9c-4342-a2ef-afdd30ce7796,A57-0274-04249-01,ENH-MAIN-00816,2028-03-18,0,3,21,157.32,ACTIVE,2025-10-04,FRIDGE,637,0,OUT_OF_STOCK
d943084e-e471-4058-9f1b-82d123dffa4e,0084942a-7f9c-4342-a2ef-afdd30ce7796,A58-0046-00091-01,ENH-MAIN-00583,2028-01-27,0,1,12,851.53,ACTIVE,2025-07-05,CONTROLLED ROOM,586,0,OUT_OF_STOCK
f4578f78-ad40-46d1-b1d7-f7728385c86f,0084942a-7f9c-4342-a2ef-afdd30ce7796,A58-1081-02546-01,BASE-GENE-03403,2028-01-10,0,5,36,278.82,ACTIVE,2026-03-21,FRIDGE,569,0,OUT_OF_STOCK
c8b7a0a0-078f-432c-9cf9-23e774334067,0084942a-7f9c-4342-a2ef-afdd30ce7796,A58-3824-02545-01,ENH-MAIN-00117,2029-09-07,2,1,4,457.58,ACTIVE,2026-02-25,SHELF B,1175,915.16,HEALTHY
6e8f6a9b-e46e-475a-880f-9deb30482df6,0084942a-7f9c-4342-a2ef-afdd30ce7796,A58-8326-08101-02,BASE-GENE-04391,2027-12-06,0,1,4,707.52,ACTIVE,2025-06-18,FRIDGE,534,0,OUT_OF_STOCK
8a21648a-c2aa-491c-8538-436ea9b40350,0084942a-7f9c-4342-a2ef-afdd30ce7796,A60-0695-00902-02,ENH-MAIN-00531,2026-09-16,0,1,7,4983.35,ACTIVE,2025-09-05,HIGH VALUE CABINET,88,0,OUT_OF_STOCK
c7c1c886-fb8b-4bf7-bc1f-4cf0660acd51,0084942a-7f9c-4342-a2ef-afdd30ce7796,A60-0948-01272-01,ENH-MAIN-00218,2030-10-11,0,2,16,115.52,ACTIVE,2025-06-27,SHELF B,1574,0,OUT_OF_STOCK
1b03c942-4088-4cf5-aedc-49e4817ae7b8,0084942a-7f9c-4342-a2ef-afdd30ce7796,A60-1572-04689-01,ENH-MAIN-00793,2027-07-04,536,137,986,16.75,ACTIVE,2025-08-07,CONTROLLED ROOM,379,8978,HEALTHY
63aac369-f039-4b0a-965a-a0968dba447d,0084942a-7f9c-4342-a2ef-afdd30ce7796,A60-2628-02789-01,ENH-MAIN-00598,2030-07-28,0,2,18,305.38,ACTIVE,2025-11-03,SHELF A,1499,0,OUT_OF_STOCK
d7d6b841-92b7-4569-9a7b-1b264e2e585a,0084942a-7f9c-4342-a2ef-afdd30ce7796,A60-4815-04804-01,BASE-GENE-03266,2030-01-15,10,3,27,57.29,ACTIVE,2025-09-14,CONTROLLED ROOM,1305,572.9,HEALTHY
96c42e30-0d4a-476c-a9a3-a8445926ef8b,0084942a-7f9c-4342-a2ef-afdd30ce7796,A60-D431-17837-01,ENH-MAIN-01011,2030-12-10,48,16,117,40.68,ACTIVE,2025-09-20,FRIDGE,1634,1952.64,HEALTHY
a76460cb-6189-455b-bb82-dda2f4230f44,0084942a-7f9c-4342-a2ef-afdd30ce7796,A64-1530-05190-01,ENH-MAIN-00541,2030-01-26,75,18,135,75.12,ACTIVE,2025-11-05,MAIN STORE,1316,5634,HEALTHY
c430534a-66ea-48bd-8e3b-949d451ee41e,0084942a-7f9c-4342-a2ef-afdd30ce7796,A64-6324-04146-01,ENH-MAIN-01039,2027-06-19,0,4,34,257.6,ACTIVE,2025-12-24,FRIDGE,364,0,OUT_OF_STOCK
50a62c98-8877-401b-b6ff-91ad1f67c791,0084942a-7f9c-4342-a2ef-afdd30ce7796,A65-2669-04107-01,ENH-MAIN-00503,2030-02-06,7,3,27,269.74,ACTIVE,2025-12-15,SHELF A,1327,1888.18,HEALTHY
fc1d9d3d-85f9-4841-b041-1bf9e78b269c,0084942a-7f9c-4342-a2ef-afdd30ce7796,A68-0558-05872-01,ENH-MAIN-00388,2027-05-19,419,105,757,11.58,ACTIVE,2025-10-12,MAIN STORE,333,4852.02,HEALTHY
d2ba930a-9fd1-4da2-ab47-02a31bd49b6f,0084942a-7f9c-4342-a2ef-afdd30ce7796,A68-5290-04862-01,ENH-MAIN-00105,2027-07-19,0,2,18,224.37,ACTIVE,2025-07-17,SHELF A,394,0,OUT_OF_STOCK
611d417b-e267-47a0-8627-be87fbdcb9ce,0084942a-7f9c-4342-a2ef-afdd30ce7796,A72-3873-04176-02,ENH-MAIN-00868,2027-01-28,0,4,34,271.69,ACTIVE,2026-02-02,SHELF A,222,0,OUT_OF_STOCK
201f6906-b6ee-4c84-b746-d441912c2b26,0084942a-7f9c-4342-a2ef-afdd30ce7796,A72-7660-03203-01,ENH-MAIN-01083,2030-09-19,13,4,34,191.62,ACTIVE,2025-11-05,MAIN STORE,1552,2491.06,HEALTHY
be23d1a1-0ebe-4a75-8f94-327cef2346d9,0084942a-7f9c-4342-a2ef-afdd30ce7796,A74-0085-03233-01,ENH-MAIN-00217,2027-04-11,0,1,7,4228.02,ACTIVE,2025-09-14,HIGH VALUE CABINET,295,0,OUT_OF_STOCK
6cae3cd6-6a6f-4ee5-a7f4-6b176de0f743,0084942a-7f9c-4342-a2ef-afdd30ce7796,A75-5118-05386-01,ENH-MAIN-01178,2029-04-09,6,1,12,212.84,ACTIVE,2026-02-27,MAIN STORE,1024,1277.04,HEALTHY
72cb7607-4ffd-455d-a12a-3de20de5f597,0084942a-7f9c-4342-a2ef-afdd30ce7796,A76-0202-00758-01,ENH-MAIN-01030,2026-07-31,179,50,361,10.86,ACTIVE,2026-02-04,CONTROLLED ROOM,41,1943.94,NEAR_EXPIRY_CRITICAL
1273392a-de53-48f5-a01d-2eb779b9d89d,0084942a-7f9c-4342-a2ef-afdd30ce7796,A77-4244-04689-01,BASE-GENE-01278,2030-07-02,9,4,34,241.87,ACTIVE,2026-03-01,CONTROLLED ROOM,1473,2176.83,HEALTHY
781fa1b1-e412-481c-b032-b6fa4a9e7be7,0084942a-7f9c-4342-a2ef-afdd30ce7796,A77-6241-06186-01,ENH-MAIN-00020,2028-09-17,4,1,7,287.17,ACTIVE,2025-12-30,SHELF A,820,1148.68,HEALTHY
9faff1fe-8d21-4e7b-b944-7b7dc7c22b15,0084942a-7f9c-4342-a2ef-afdd30ce7796,A80-5066-02104-03,ENH-MAIN-00034,2027-12-22,0,1,4,1500.53,ACTIVE,2026-02-12,HIGH VALUE CABINET,550,0,OUT_OF_STOCK
ef7c1dee-38fe-491a-aaed-55045f351562,0084942a-7f9c-4342-a2ef-afdd30ce7796,A81-5441-02020-01,ENH-MAIN-01047,2028-07-25,5,1,9,2991.36,ACTIVE,2025-11-19,HIGH VALUE CABINET,766,14956.8,HEALTHY
c26986d4-507f-4daa-bccf-f3a376f5a08a,0084942a-7f9c-4342-a2ef-afdd30ce7796,A82-0657-00511-02,ENH-MAIN-00829,2027-12-25,0,1,9,415.33,ACTIVE,2026-04-14,SHELF A,553,0,OUT_OF_STOCK
76e4b69a-3e5e-46af-b01f-4e457403d723,0084942a-7f9c-4342-a2ef-afdd30ce7796,A84-2003-02450-01,BASE-GENE-01741,2030-04-19,542,137,988,1.59,ACTIVE,2026-06-09,SHELF A,1399,861.78,HEALTHY
099d10e9-f68a-494c-ac5c-a86d8152715a,0084942a-7f9c-4342-a2ef-afdd30ce7796,A91-2740-03232-01,ENH-MAIN-00599,2030-08-28,3,1,5,155.47,ACTIVE,2025-06-24,FRIDGE,1530,466.41,HEALTHY
588ddfec-1f66-406f-80fa-b45301a97fbc,0084942a-7f9c-4342-a2ef-afdd30ce7796,A94-0368-01587-01,BASE-GENE-03556,2030-03-31,6,1,12,821.18,ACTIVE,2026-05-18,MAIN STORE,1380,4927.08,HEALTHY
37dd1800-e706-4aa5-8181-c26e12aec020,0084942a-7f9c-4342-a2ef-afdd30ce7796,A94-0368-01588-02,ENH-MAIN-00003,2026-07-26,0,3,27,311.87,ACTIVE,2025-08-12,FRIDGE,36,0,OUT_OF_STOCK
23f3c0f7-ad3c-4fd0-a4cf-c36631263a6b,0084942a-7f9c-4342-a2ef-afdd30ce7796,A94-6809-06904-02,ENH-MAIN-00436,2030-04-12,31,10,73,22.34,ACTIVE,2025-11-24,MAIN STORE,1392,692.54,HEALTHY
e154cdd6-79a7-41e1-83ab-693d82bc48f0,0084942a-7f9c-4342-a2ef-afdd30ce7796,A94-D132-16921-01,BASE-GENE-01821,2027-07-01,0,2,19,241.37,ACTIVE,2025-11-21,FRIDGE,376,0,OUT_OF_STOCK
63528700-200f-47be-9456-da233876a1aa,0084942a-7f9c-4342-a2ef-afdd30ce7796,A95-9279-09404-01,ENH-MAIN-00118,2028-02-21,0,1,9,771.96,ACTIVE,2026-04-06,SHELF B,611,0,OUT_OF_STOCK
29cb6b5f-b3d0-4f11-b197-ca4d5f1f50ba,0084942a-7f9c-4342-a2ef-afdd30ce7796,A95-9279-09404-03,BASE-GENE-00419,2030-12-08,5,1,9,196.25,ACTIVE,2025-11-15,CONTROLLED ROOM,1632,981.25,HEALTHY
c9a190b8-6070-411f-aa91-df49fac3ee37,0084942a-7f9c-4342-a2ef-afdd30ce7796,A96-0320-04524-01,ENH-MAIN-01199,2026-11-05,0,1,10,208.66,ACTIVE,2026-02-22,MAIN STORE,138,0,OUT_OF_STOCK
2104f594-ed20-4df5-b323-ec1407a89cac,0084942a-7f9c-4342-a2ef-afdd30ce7796,A96-0329-02545-01,ENH-MAIN-00871,2029-02-25,5,1,9,581.53,ACTIVE,2025-12-14,SHELF A,981,2907.65,HEALTHY
5b9a2ab9-aff6-4875-9965-ec2a4620abd8,0084942a-7f9c-4342-a2ef-afdd30ce7796,A96-0333-05521-01,ENH-MAIN-00792,2026-10-14,60,19,138,61.51,ACTIVE,2025-12-10,FRIDGE,116,3690.6,NEAR_EXPIRY_WARNING
eafc87ab-1e20-45dc-ba3b-62947aa676c9,0084942a-7f9c-4342-a2ef-afdd30ce7796,A96-1268-05985-01,ENH-MAIN-00696,2030-01-31,8,4,32,331.7,ACTIVE,2026-03-11,MAIN STORE,1321,2653.6,HEALTHY
ec6e38e7-fde3-4267-aa2c-1f7d23ea09a9,0084942a-7f9c-4342-a2ef-afdd30ce7796,A96-2493-00109-01,ENH-MAIN-00536,2027-06-09,0,2,18,131.6,ACTIVE,2025-09-04,CONTROLLED ROOM,354,0,OUT_OF_STOCK
5e972d55-0f36-449b-b492-511330a2ce42,0084942a-7f9c-4342-a2ef-afdd30ce7796,A96-7079-01951-01,BASE-GENE-05086,2028-10-25,6,3,27,305.64,ACTIVE,2025-10-20,FRIDGE,858,1833.84,HEALTHY
5e933a07-cab2-4427-b95d-1431889e26e2,0084942a-7f9c-4342-a2ef-afdd30ce7796,A96-9410-09526-01,ENH-MAIN-00653,2027-05-06,0,3,23,293.17,ACTIVE,2025-09-20,CONTROLLED ROOM,320,0,OUT_OF_STOCK
2b6cc221-a75d-400f-8eef-7c101b8c6535,0084942a-7f9c-4342-a2ef-afdd30ce7796,A96-B608-02706-01,BASE-GENE-06977,2030-10-10,5,1,9,614.69,ACTIVE,2026-01-11,FRIDGE,1573,3073.45,HEALTHY
18b75e8e-12e8-4501-b2c8-535d2146b13a,0084942a-7f9c-4342-a2ef-afdd30ce7796,A96-E271-07536-01,ENH-MAIN-00765,2029-10-09,8,3,27,284.35,ACTIVE,2025-11-27,SHELF B,1207,2274.8,HEALTHY
8d6248e0-08a3-4c17-80f9-07a5efbad9a7,0084942a-7f9c-4342-a2ef-afdd30ce7796,A96-E281-09119-01,BASE-GENE-05364,2030-09-06,0,2,14,324.11,ACTIVE,2026-06-03,FRIDGE,1539,0,OUT_OF_STOCK
dfed7d9a-1aaa-4cc1-ad91-86a515c7c35b,0084942a-7f9c-4342-a2ef-afdd30ce7796,A97-6621-01537-01,BASE-GENE-04379,2029-11-25,0,1,12,251.98,ACTIVE,2025-11-04,SHELF B,1254,0,OUT_OF_STOCK
a27bccd3-a6df-403c-808e-f90e3a5aa5b9,0084942a-7f9c-4342-a2ef-afdd30ce7796,A98-0605-01527-01,ENH-MAIN-00502,2031-01-20,3,2,18,430.02,ACTIVE,2025-08-13,FRIDGE,1675,1290.06,HEALTHY
6e6d4924-f687-4aec-9d48-8956f2fa25c7,0084942a-7f9c-4342-a2ef-afdd30ce7796,A98-4431-04806-01,ENH-MAIN-00013,2026-09-20,0,1,7,273.24,ACTIVE,2026-03-15,SHELF A,92,0,OUT_OF_STOCK
56072212-7c97-493a-98f4-6ca4e34f650d,0084942a-7f9c-4342-a2ef-afdd30ce7796,A98-4575-03418-01,ENH-MAIN-00569,2029-07-23,2,1,4,240.26,ACTIVE,2025-09-06,SHELF A,1129,480.52,HEALTHY
bb76b35c-28e3-4bc6-9c78-0988b73a9fc7,0084942a-7f9c-4342-a2ef-afdd30ce7796,A98-D535-18144-01,ENH-MAIN-01169,2030-06-21,17,5,36,187.59,ACTIVE,2025-10-18,SHELF A,1462,3189.03,HEALTHY
9690a0f6-b367-4715-aeae-eae789d037e7,0084942a-7f9c-4342-a2ef-afdd30ce7796,A99-0455-00534-01,ENH-MAIN-00494,2028-05-01,5,1,9,205.9,ACTIVE,2025-09-18,FRIDGE,681,1029.5,HEALTHY
d79eacb2-50cb-4e2f-b098-c17f71cd2e12,0084942a-7f9c-4342-a2ef-afdd30ce7796,AA6-9932-10343-01,ENH-MAIN-00574,2029-01-31,5,1,9,624.03,ACTIVE,2025-12-10,SHELF B,956,3120.15,HEALTHY
c8802ab4-8bb7-404d-b7e9-815cc75f1e2e,0084942a-7f9c-4342-a2ef-afdd30ce7796,AB5-C974-16464-01,ENH-MAIN-00298,2027-05-25,10,4,30,241.95,ACTIVE,2025-12-23,FRIDGE,339,2419.5,HEALTHY
102d2338-6468-4c4c-a6ed-54f12497d289,0084942a-7f9c-4342-a2ef-afdd30ce7796,AB8-8807-01633-01,ENH-MAIN-00753,2030-09-10,8,4,34,283.15,ACTIVE,2025-10-09,SHELF A,1543,2265.2,HEALTHY
6399e788-fb49-4bdc-8fd9-266b20a5e74f,0084942a-7f9c-4342-a2ef-afdd30ce7796,AC6-B041-12566-01,ENH-MAIN-00443,2030-03-18,26,1,12,117.55,ACTIVE,2025-10-03,FRIDGE,1367,3056.3,HEALTHY
ddebe609-976e-4de8-9954-912c321f07c9,0084942a-7f9c-4342-a2ef-afdd30ce7796,AC6-D460-18059-01,BASE-GENE-02488,2029-01-02,2,1,4,136.92,ACTIVE,2025-11-07,MAIN STORE,927,273.84,HEALTHY
1b5e9eab-cb5c-45c2-b759-dc95503e0fc8,0084942a-7f9c-4342-a2ef-afdd30ce7796,AD2-9704-03337-01,ENH-MAIN-00347,2027-09-03,0,1,10,989.95,ACTIVE,2025-11-17,SHELF B,440,0,OUT_OF_STOCK
21ece1ed-ed56-4f0f-bc31-7926581d580c,0084942a-7f9c-4342-a2ef-afdd30ce7796,AD2-A378-10949-01,ENH-MAIN-00046,2027-01-29,0,2,18,185.27,ACTIVE,2025-11-18,MAIN STORE,223,0,OUT_OF_STOCK
83b32801-48bf-408e-bd24-3857de13d674,0084942a-7f9c-4342-a2ef-afdd30ce7796,AG0-0409-08800-02,BASE-GENE-00298,2027-02-24,0,4,32,296.05,ACTIVE,2025-09-13,SHELF A,249,0,OUT_OF_STOCK
c991107e-25e1-4ec5-b20e-8d24d8958ee0,0084942a-7f9c-4342-a2ef-afdd30ce7796,AH4-8864-08822-01,ENH-MAIN-00834,2026-07-18,9,4,34,198.71,ACTIVE,2025-11-17,SHELF B,28,1788.39,NEAR_EXPIRY_CRITICAL
762688cf-d9ed-4802-a563-8beab67834cc,0084942a-7f9c-4342-a2ef-afdd30ce7796,AH4-C114-14470-01,ENH-MAIN-00292,2027-03-23,560,144,1036,14.49,ACTIVE,2025-12-29,SHELF A,276,8114.4,HEALTHY
6caaf240-da2e-40fd-832d-a1b9da56cd4d,0084942a-7f9c-4342-a2ef-afdd30ce7796,AI2-8986-09010-01,ENH-MAIN-01069,2026-09-24,0,3,21,349.67,ACTIVE,2026-03-15,MAIN STORE,96,0,OUT_OF_STOCK
